,date,method,class_1,class_2,class_3,class_4
1,7/27/2020,Fixed (20),0,5,60,42
2,7/27/2020,Fixed (4),0,19,20,42
3,7/27/2020,Hist Prev (20),0,24,15,43
4,7/27/2020,Hist Prev (4),0,24,15,43
5,7/27/2020,Individual,0,0,0,115
6,7/27/2020,PET (20),7,12,18,42
7,7/27/2020,PET (4),7,12,18,42
8,7/27/2020,tOPS,0,16,23,43
9,7/28/2020,Fixed (20),0,7,40,25
10,7/28/2020,Fixed (4),0,33,8,26
11,7/28/2020,Hist Prev (20),0,27,10,25
12,7/28/2020,Hist Prev (4),0,33,8,26
13,7/28/2020,Individual,0,0,0,158
14,7/28/2020,PET (20),12,4,20,25
15,7/28/2020,PET (4),12,24,8,26
16,7/28/2020,tOPS,0,15,18,25
17,7/29/2020,Fixed (20),0,22,260,21
18,7/29/2020,Fixed (4),0,110,72,21
19,7/29/2020,Hist Prev (20),0,95,82,21
20,7/29/2020,Hist Prev (4),0,110,72,21
21,7/29/2020,Individual,0,0,0,461
22,7/29/2020,PET (20),37,58,90,20
23,7/29/2020,PET (4),37,81,68,20
24,7/29/2020,tOPS,0,78,100,21
25,7/30/2020,Fixed (20),0,3,24,30
26,7/30/2020,Fixed (4),0,11,8,30
27,7/30/2020,Hist Prev (20),0,9,10,30
28,7/30/2020,Hist Prev (4),0,11,8,30
29,7/30/2020,Individual,0,0,0,74
30,7/30/2020,PET (20),4,1,7,30
31,7/30/2020,PET (4),4,8,7,30
32,7/30/2020,tOPS,0,9,10,30
33,7/31/2020,Fixed (20),0,10,155,4
34,7/31/2020,Fixed (4),0,49,48,4
35,7/31/2020,Hist Prev (20),0,28,76,4
36,7/31/2020,Hist Prev (4),0,49,48,4
37,7/31/2020,Individual,0,0,0,199
38,7/31/2020,PET (20),17,28,49,4
39,7/31/2020,PET (4),17,36,45,4
40,7/31/2020,tOPS,0,39,60,4
41,8/3/2020,Fixed (20),0,6,103,7
42,8/3/2020,Fixed (4),0,26,71,7
